NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
2271,1408,863,385,1,0,2
2360,1091,634,826,0,0,0
2026,1258,715,755,0,1,1
2173,1377,1147,445,0,0,1
2336,1105,825,378,4,0,1
1901,1364,950,634,0,0,2
1902,1286,834,616,0,1,1
1771,1478,828,599,2,0,3
1826,1362,704,419,2,0,2
2500,1449,639,597,1,1,1
2112,1536,560,752,0,0,0
2503,1165,884,549,0,0,1
2208,1315,881,707,0,0,0
2401,1420,753,710,0,0,1
1912,1563,926,470,1,0,1
1954,1421,738,451,0,0,0
2028,1306,819,583,0,3,0
2235,843,817,460,2,3,1
2085,1207,815,533,1,0,4
2000,1290,1290,468,0,0,1
2152,1250,902,775,1,1,1
2010,1101,819,615,2,0,1
2052,1143,725,577,4,2,0
2510,1318,666,638,0,0,1
2011,1115,1060,579,0,0,1
1954,909,1045,814,0,0,0
2028,1130,976,565,1,0,3
2259,1339,976,349,0,0,0
1878,1362,661,661,0,0,1
2022,1376,801,492,0,0,1
1970,1319,815,637,0,0,0
2009,1305,935,508,0,0,0
2477,1233,881,415,0,0,0
2239,1292,1046,480,0,0,0
1742,1568,743,546,0,0,0
2164,1239,587,482,0,5,4
2186,1369,713,779,0,0,4
1797,1536,710,507,0,0,0
2252,1402,1261,737,0,0,1
2010,1212,781,574,1,0,0
1300,1582,563,657,0,0,2
1856,1402,623,793,0,0,0
2038,1196,938,842,0,0,0
2372,1278,764,593,0,1,5
2194,1339,783,399,0,0,0
1917,1106,1077,841,0,0,0
2329,1131,899,549,2,1,1
1998,1071,947,690,0,0,1
2643,1480,910,504,2,3,0
2004,1243,1366,582,1,0,1
1978,1152,867,501,0,0,1
2338,1227,693,548,2,0,0
2383,908,1299,517,4,0,1
2442,1252,984,279,0,0,2
1936,1480,678,470,0,0,1
2432,1057,831,483,0,0,0
1748,1156,972,670,0,1,1
2193,1260,1069,787,1,0,0
2128,1291,1064,426,0,0,0
2213,1310,717,680,1,0,0
1790,1067,922,497,3,1,7
1951,1274,664,501,0,1,0
1842,1491,717,731,0,0,0
1942,1149,1017,423,3,0,0
1857,1238,1004,523,1,0,1
1914,1001,849,494,1,1,1
1441,1574,618,765,0,0,0
1944,1381,709,526,0,0,4
2101,1302,606,696,1,0,1
2468,1405,975,481,0,1,4
2131,1281,1031,418,0,0,2
1437,1227,656,558,1,4,5
2197,1389,821,354,0,0,0
2094,1083,864,688,1,0,0
2022,1113,862,392,1,0,0
2089,1199,957,391,0,0,0
1794,1443,765,615,0,1,3
1641,944,851,372,0,0,6
2312,1505,860,376,0,0,1
1932,1054,1162,662,0,0,1
2124,1220,713,491,0,1,1
2363,1218,974,536,3,0,4
2090,1205,798,624,1,1,0
1974,1364,769,522,0,0,0
1891,1480,832,627,5,0,0
2583,994,843,304,2,0,0
1924,1584,955,602,0,0,1
2136,1074,972,665,1,1,1
1841,1576,1074,516,0,0,0
1815,1244,1041,292,0,0,1
2545,1314,802,373,0,0,0
1709,1417,675,715,0,0,0
2381,1161,565,357,0,0,2
2211,1332,703,454,2,6,2
2189,1160,1112,296,0,2,3
1937,1230,510,406,4,0,1
2048,1252,910,640,0,0,0
2072,999,1074,599,0,1,0
2335,1277,632,477,1,0,1
1739,1391,779,793,0,0,0
2248,1052,1052,706,2,0,2
2514,1381,1008,539,0,0,1
1737,1275,950,570,0,0,0
2119,806,687,403,3,0,4
2053,1425,642,559,0,0,0
1934,1461,697,447,0,0,2
1990,1199,927,433,3,0,1
1899,1108,1118,643,4,0,1
1990,1261,847,532,1,0,2
2188,1380,651,443,0,0,3
2035,1280,755,566,0,0,1
2271,1341,784,359,0,2,0
2245,1117,1062,526,0,1,2
