Filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0102.a4.txt,0.1778,0.1265,0.0643,0.0393,10,0,5
0103.a4.txt,0.121,0.1444,0.0502,0.0361,11,0,4
0104.a4.txt,0.1661,0.1251,0.0726,0.0431,4,0,4
0105.a4.txt,0.156,0.127,0.0604,0.0805,6,0,2
0106.a4.txt,0.1584,0.1225,0.082,0.0472,7,0,5
0107.a4.txt,0.171,0.1472,0.0736,0.0487,5,0,2
0108.a4.txt,0.1639,0.1483,0.0705,0.0446,8,0,2
0109.a4.txt,0.19,0.1306,0.0754,0.0446,3,0,3
0110.a4.txt,0.1992,0.1285,0.0681,0.0373,3,0,1
0111.a4.txt,0.1605,0.1379,0.0761,0.044,4,0,5
0112.a4.txt,0.1628,0.1347,0.0621,0.0445,1,0,3
0115.a4.txt,0.2104,0.0953,0.0804,0.0582,3,0,3
0119.a4.txt,0.1739,0.1523,0.0528,0.0408,2,0,4
0120.a4.txt,0.142,0.1545,0.0614,0.0375,5,0,4
0121.a4.txt,0.1621,0.1265,0.0702,0.0534,9,0,3
0122.a4.txt,0.1935,0.1213,0.0714,0.0473,7,0,5
0127.a4.txt,0.1347,0.1256,0.0583,0.0712,6,0,5
0128.a4.txt,0.2062,0.1244,0.0588,0.0438,3,0,2
0130.a4.txt,0.1926,0.1175,0.0555,0.0588,8,0,3
0134.a4.txt,0.156,0.119,0.092,0.0415,4,0,0
0135.a4.txt,0.1844,0.1114,0.0778,0.0635,8,0,2
0136.a4.txt,0.1623,0.1358,0.0757,0.0383,9,1,3
0137.a4.txt,0.1988,0.1111,0.0605,0.0444,5,0,5
0139.a4.txt,0.1582,0.0944,0.0867,0.0344,6,0,2
0140.a4.txt,0.1594,0.118,0.0608,0.0499,7,0,4
0149.a4.txt,0.1622,0.1376,0.0808,0.0386,6,0,5
0156.a4.txt,0.1419,0.1446,0.0581,0.0514,3,0,4
0157.a4.txt,0.1592,0.123,0.082,0.0651,7,0,1
0158.a4.txt,0.1567,0.1233,0.0763,0.0637,6,0,1
0159.a4.txt,0.1789,0.1223,0.0725,0.0532,7,0,4
0161.a4.txt,0.1856,0.1233,0.0833,0.0322,4,0,4
0165.a4.txt,0.2236,0.121,0.0491,0.048,7,0,2
0168.a4.txt,0.1798,0.1229,0.0759,0.0569,14,0,6
0169.a4.txt,0.1628,0.1411,0.0796,0.0386,3,0,1
0171.a4.txt,0.1655,0.1184,0.0713,0.0402,7,0,3
0175.a4.txt,0.177,0.1223,0.0808,0.0463,7,0,2
0176.a4.txt,0.1854,0.1157,0.0685,0.0618,10,0,3
0177.a4.txt,0.126,0.1627,0.0853,0.0595,6,0,4
0178.a4.txt,0.196,0.1206,0.0801,0.0509,4,0,3
0179.a4.txt,0.1967,0.1178,0.1022,0.0244,10,0,2
0185.a4.txt,0.1874,0.1325,0.0811,0.0394,8,0,1
0186.a4.txt,0.1713,0.1397,0.0608,0.0389,2,0,5
0187.a4.txt,0.1536,0.1486,0.059,0.0369,4,0,6
0188.a4.txt,0.193,0.1173,0.0704,0.0533,6,0,2
0190.a4.txt,0.1538,0.1214,0.0553,0.0397,4,1,5
0192.a4.txt,0.2041,0.1373,0.051,0.0413,2,0,2
0193.a4.txt,0.1853,0.1311,0.0551,0.0323,6,0,6
0194.a4.txt,0.1889,0.1331,0.0648,0.0444,7,0,3
0195.a4.txt,0.1914,0.1354,0.0455,0.0385,5,0,4
0196.a4.txt,0.144,0.1395,0.0675,0.0486,5,0,2
0197.a4.txt,0.1632,0.1425,0.056,0.0475,6,0,4
0198.a4.txt,0.1289,0.1311,0.0489,0.0411,4,0,5
0199.a4.txt,0.1864,0.1083,0.0831,0.0466,8,0,3
0200.a4.txt,0.1655,0.1467,0.0622,0.0728,5,0,1
0202.a4.txt,0.1587,0.1673,0.0406,0.0221,2,0,2
0204.a4.txt,0.1698,0.1243,0.0615,0.0428,7,0,1
0205.a4.txt,0.1684,0.1278,0.0639,0.0561,11,0,3
0206.a4.txt,0.1348,0.1224,0.0746,0.0497,7,0,6
0208.a4.txt,0.1213,0.166,0.0607,0.0682,7,0,4
0213.a4.txt,0.1986,0.1225,0.0583,0.0559,3,1,3
0214.a4.txt,0.14,0.1475,0.062,0.0682,7,0,6
0215.a4.txt,0.2017,0.1107,0.0685,0.0366,11,0,4
0216.a4.txt,0.1642,0.1485,0.0541,0.0334,8,0,4
0218.a4.txt,0.1458,0.1374,0.0729,0.0251,5,1,1
0219.a4.txt,0.1399,0.1363,0.0881,0.0712,7,0,1
0222.a4.txt,0.1843,0.1348,0.0657,0.0472,3,0,3
0223.a4.txt,0.1599,0.161,0.0537,0.0455,5,0,4
0224.a4.txt,0.1496,0.1277,0.0738,0.0418,8,0,5
0227.a4.txt,0.2056,0.1343,0.0491,0.0389,8,0,3
0234.a4.txt,0.187,0.1132,0.0861,0.0603,9,0,2
0235.a4.txt,0.1712,0.1365,0.0769,0.0347,5,0,4
0237.a4.txt,0.1681,0.1359,0.0822,0.0524,3,0,1
0238.a4.txt,0.1647,0.1457,0.0528,0.0348,5,0,1
1003.a4.txt,0.219,0.1221,0.0718,0.0341,4,0,1
1005.a4.txt,0.1757,0.112,0.055,0.0444,7,0,4
1006.a4.txt,0.2249,0.098,0.0924,0.0535,8,0,1
1008.a4.txt,0.1826,0.1125,0.0802,0.0624,6,2,3
1009.a4.txt,0.1969,0.1223,0.0656,0.0438,7,0,2
1010.a4.txt,0.1912,0.0925,0.0844,0.053,11,0,3
1012.a4.txt,0.1977,0.1091,0.0886,0.0409,8,0,1
1013.a4.txt,0.1625,0.125,0.0773,0.0352,10,0,0
1014.a4.txt,0.1598,0.1469,0.0658,0.0447,7,0,1
1017.a4.txt,0.1729,0.119,0.0856,0.0616,3,0,1
1018.a4.txt,0.1699,0.1368,0.0725,0.0487,8,0,2
1021.a4.txt,0.181,0.1116,0.0905,0.0498,8,0,0
1022.a4.txt,0.1678,0.1304,0.0614,0.0537,7,0,2
1023.a4.txt,0.1998,0.0972,0.0994,0.0562,12,1,2
1032.a4.txt,0.1342,0.1479,0.0785,0.0637,7,1,1
1034.a4.txt,0.1736,0.1284,0.077,0.066,9,0,2
1036.a4.txt,0.1821,0.1352,0.0736,0.0589,10,0,2
1043.a4.txt,0.1518,0.1177,0.0858,0.0539,8,0,1
1048.a4.txt,0.1613,0.1481,0.0598,0.0639,4,0,2
1049.a4.txt,0.153,0.1448,0.0904,0.0556,7,0,1
1050.a4.txt,0.1743,0.1355,0.0885,0.0456,4,0,2
1052.a4.txt,0.1558,0.1287,0.07,0.053,9,0,1
1055.a4.txt,0.1726,0.1177,0.0706,0.0493,10,1,1
1057.a4.txt,0.1472,0.133,0.057,0.0456,7,0,2
1060.a4.txt,0.1871,0.1047,0.1141,0.0376,4,0,0
1061.a4.txt,0.1674,0.1355,0.065,0.043,4,0,3
1064.a4.txt,0.1798,0.1198,0.0707,0.0501,8,0,2
1065.a4.txt,0.1526,0.137,0.0822,0.046,9,0,1
1066.a4.txt,0.2026,0.1139,0.0887,0.0348,5,0,2
1067.a4.txt,0.1679,0.1153,0.0702,0.0501,5,2,0
1068.a4.txt,0.2435,0.1094,0.0766,0.0274,2,0,5
1070.a4.txt,0.1407,0.142,0.044,0.0766,5,0,1
1072.a4.txt,0.187,0.11,0.0876,0.0487,4,0,1
1074.a4.txt,0.1581,0.1188,0.0847,0.0517,7,0,1
1076.a4.txt,0.1822,0.1232,0.0694,0.0342,7,1,1
1077.a4.txt,0.2101,0.1114,0.1013,0.0646,8,0,4
1081.a4.txt,0.1763,0.1245,0.0685,0.029,8,0,3
1088.a4.txt,0.1465,0.1465,0.0521,0.0387,6,0,1
1090.a4.txt,0.1687,0.1319,0.0777,0.046,7,0,3
1094.a4.txt,0.1298,0.1298,0.0626,0.0649,8,1,1
1095.a4.txt,0.1757,0.1318,0.0788,0.0672,9,0,0
1098.a4.txt,0.1652,0.1311,0.0668,0.058,9,0,1
1099.a4.txt,0.1645,0.1313,0.074,0.0287,8,0,2
1100.a4.txt,0.1594,0.1243,0.0692,0.0481,6,0,2
1102.a4.txt,0.1571,0.1228,0.0874,0.0476,7,1,3
1103.a4.txt,0.1712,0.1153,0.0628,0.0548,9,0,2
1104.a4.txt,0.1864,0.1125,0.0784,0.0386,9,0,2
1112.a4.txt,0.1627,0.1282,0.069,0.0603,7,0,1
1121.a4.txt,0.1837,0.1278,0.0665,0.0634,7,0,2
2000.a4.txt,0.2043,0.1093,0.0736,0.0511,6,0,2
2005.a4.txt,0.1815,0.1249,0.0566,0.0595,7,0,3
2007.a4.txt,0.1659,0.1313,0.0561,0.0525,7,1,3
2008.a4.txt,0.153,0.1424,0.0924,0.0591,4,0,1
2011.a4.txt,0.2102,0.1084,0.0929,0.0442,8,0,2
2012.a4.txt,0.1903,0.1184,0.0767,0.034,10,0,1
2014.a4.txt,0.1635,0.1279,0.0807,0.0482,7,0,1
2015.a4.txt,0.1784,0.1177,0.068,0.0558,10,1,3
2017.a4.txt,0.1908,0.1223,0.0718,0.0494,6,0,0
2018.a4.txt,0.2068,0.1209,0.0859,0.052,10,0,1
2019.a4.txt,0.1689,0.1406,0.0533,0.0454,6,0,1
2020.a4.txt,0.157,0.1419,0.0628,0.0442,5,0,1
2021.a4.txt,0.1678,0.1503,0.0559,0.049,3,0,1
2022.a4.txt,0.1662,0.1387,0.0549,0.0405,9,0,2
2024.a4.txt,0.1587,0.1456,0.0656,0.0585,9,0,1
2028.a4.txt,0.1937,0.1263,0.075,0.0389,14,1,3
2030.a4.txt,0.1596,0.1448,0.0552,0.0483,7,0,2
2031.a4.txt,0.1834,0.1135,0.0753,0.0546,10,0,2
2032.a4.txt,0.1891,0.1204,0.0615,0.0489,8,0,1
2034.a4.txt,0.1694,0.1324,0.0546,0.0546,10,0,3
2035.a4.txt,0.1714,0.1349,0.0434,0.0526,3,0,1
2036.a4.txt,0.135,0.1383,0.0741,0.0476,6,0,0
2038.a4.txt,0.2049,0.1153,0.0736,0.0491,6,0,2
2039.a4.txt,0.1989,0.1138,0.0718,0.0597,8,0,3
2040.a4.txt,0.1591,0.1443,0.05,0.0398,7,0,2
2042.a4.txt,0.1641,0.1171,0.0733,0.0306,9,0,0
2044.a4.txt,0.1856,0.1228,0.0793,0.0344,7,1,1
2046.a4.txt,0.1669,0.1246,0.0857,0.0503,9,0,1
2048.a4.txt,0.194,0.1192,0.0845,0.0383,8,0,3
2049.a4.txt,0.2148,0.1025,0.0639,0.0344,9,0,5
2050.a4.txt,0.1683,0.1277,0.08,0.0251,5,0,1
2055.a4.txt,0.1705,0.1145,0.0682,0.0414,9,0,0
2056.a4.txt,0.1494,0.1418,0.0779,0.066,7,0,0
2057.a4.txt,0.1878,0.1268,0.0682,0.0622,7,0,1
2058.a4.txt,0.1716,0.1071,0.1137,0.0464,10,0,3
2059.a4.txt,0.1818,0.12,0.0734,0.0466,7,0,3
2061.a4.txt,0.1538,0.119,0.0853,0.0415,8,1,3
2062.a4.txt,0.141,0.1398,0.0699,0.0477,7,0,1
2064.a4.txt,0.1616,0.1349,0.0608,0.0401,8,0,0
2065.a4.txt,0.1274,0.1432,0.0688,0.0496,11,0,2
2066.a4.txt,0.187,0.1233,0.0813,0.0501,9,0,2
2067.a4.txt,0.1513,0.1292,0.0677,0.0504,9,0,1
2069.a4.txt,0.1578,0.1555,0.066,0.0554,8,0,1
2071.a4.txt,0.1268,0.1295,0.0687,0.0502,8,0,0
2072.a4.txt,0.1868,0.1302,0.0715,0.0534,5,0,5
2074.a4.txt,0.1634,0.1439,0.0682,0.0422,6,0,2
2075.a4.txt,0.1725,0.1259,0.0635,0.054,10,0,1
2076.a4.txt,0.1624,0.1324,0.0667,0.0512,4,0,1
3001.a4.txt,0.1651,0.1441,0.0557,0.0536,3,0,0
3003.a4.txt,0.2093,0.1295,0.0808,0.038,5,0,0
3020.a4.txt,0.1627,0.1378,0.0582,0.0641,8,0,0
3026.a4.txt,0.1725,0.1343,0.07,0.0448,4,0,0
3037.a4.txt,0.1684,0.1279,0.0769,0.0468,18,1,7
3042.a4.txt,0.143,0.1498,0.0619,0.0664,6,0,0
3062.a4.txt,0.2002,0.111,0.0872,0.0565,6,0,4
3065.a4.txt,0.1541,0.1414,0.0498,0.073,4,0,4
4023.a4.txt,0.1472,0.1287,0.0698,0.0632,8,1,0
4028.a4.txt,0.1619,0.1447,0.0586,0.0563,4,0,2
4030.a4.txt,0.1524,0.1545,0.0508,0.0635,7,0,0
4031.a4.txt,0.1558,0.1485,0.0479,0.0601,6,0,0
4034.a4.txt,0.1556,0.1545,0.0686,0.0606,5,0,1
4045.a4.txt,0.1738,0.1235,0.0645,0.0645,7,0,0
5009.a4.txt,0.1735,0.1251,0.0847,0.0395,5,0,1
