filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0103.b2.txt,2322,1226,633,422,3,0,1
0134.b2.txt,2002,1080,1388,733,3,0,1
0139.b2.txt,1699,1371,995,522,2,0,2
0140.b2.txt,2133,1083,646,558,4,0,2
0165.b2.txt,2151,1146,854,342,1,0,0
0200.b2.txt,1998,1296,1166,680,2,0,11
0300.b2.txt,1947,1481,923,416,2,0,3
0308.b2.txt,1750,1133,1022,718,1,0,4
0310.b2.txt,2653,1092,587,516,5,0,1
0313.b2.txt,1691,1166,982,535,6,1,4
1003.b2.txt,2036,1367,906,431,7,0,2
1006.b2.txt,2083,1164,735,515,0,0,2
1006.b2i.txt,2083,1164,735,515,0,0,2
1021.b2.txt,2240,1171,723,397,6,0,3
1023.b2.txt,1710,1075,803,544,5,1,5
1057.b2.txt,1987,1254,791,547,1,0,2
1097.b2.txt,2053,1167,798,614,4,0,2
1100.b2.txt,1635,1157,805,503,4,0,1
1104.b2.txt,2052,1183,608,521,2,0,1
1104.b2i.txt,2052,1183,608,521,2,0,1
1112.b2.txt,2269,1125,712,423,17,0,3
1508.b2.txt,1600,1494,667,350,4,0,2
1520.b2.txt,2008,1383,711,490,5,0,3
1528.b2.txt,1892,1171,921,320,6,0,0
1532.b2.txt,1695,1133,1049,583,11,1,6
1533.b2.txt,1971,1325,784,331,7,0,4
1541.b2.txt,2225,972,995,667,2,0,1
2012.b2.txt,2154,1051,897,256,2,0,1
2019.b2.txt,1763,1263,868,605,1,0,1
2028.b2.txt,2045,1402,871,391,2,0,0
2028.b2i.txt,2045,1402,871,391,2,0,0
2030.b2.txt,1737,1525,663,623,0,0,0
2032.b2.txt,2141,1176,850,408,2,0,4
2034.b2.txt,1963,1168,592,575,4,0,3
2066.b2.txt,2364,1304,1017,559,3,0,3
2070.b2.txt,1834,1326,818,552,6,0,3
2070.b2i.txt,1834,1326,818,552,7,0,3
3013.b2.txt,1761,1116,766,444,7,0,9
3020.b2.txt,1987,1212,611,284,2,0,2
3501.b2.txt,1990,1058,718,315,5,0,10
3503.b2.txt,2330,1045,844,390,4,1,6
3504.b2.txt,2454,1290,799,388,7,0,2
3505.b2.txt,2145,1359,860,486,5,0,1
3506.b2.txt,2052,1211,667,470,3,0,1
3507.b2.txt,1927,1131,1093,422,3,0,2
3508.b2.txt,2250,1198,926,381,4,0,1
3509.b2.txt,2232,1181,919,597,3,0,3
3511.b2.txt,2116,1224,632,441,4,0,5
3518.b2.txt,1422,1422,632,350,8,1,8
3519.b2.txt,1826,1339,740,426,5,0,0
3520.b2.txt,2224,1201,765,391,4,0,4
3522.b2.txt,2158,1185,889,606,5,0,0
3523.b2.txt,2522,1300,768,365,2,0,7
3525.b2.txt,1997,1232,908,454,5,0,5
4012.b2.txt,2147,1169,701,510,0,0,0
4036.b2.txt,1895,1102,865,494,10,2,8
4038.b2.txt,2204,1505,592,569,2,0,2
