filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0103.b3.txt,2468,743,782,324,19,1,39
0105.b3.txt,1698,1056,932,487,7,0,8
0122.b3.txt,1807,1031,776,341,14,2,14
0130.b3.txt,1958,944,861,529,11,5,12
0133.b3.txt,1635,963,701,450,38,4,19
0134.b3.txt,1898,1143,981,988,11,0,10
0139.b3.txt,2435,1039,1039,451,10,1,8
0140.b3.txt,3539,849,761,364,5,0,2
0165.b3.txt,2360,894,862,340,43,0,21
0171.b3.txt,2022,984,1015,390,11,0,19
0200.b3.txt,2159,947,1019,514,9,0,4
0300.b3.txt,1924,1019,971,354,23,1,14
0303.b3.txt,1846,937,992,523,2,0,1
0304.b3.txt,2067,1016,744,534,6,4,9
0307.b3.txt,1996,910,950,285,12,4,20
0308.b3.txt,2037,1040,974,813,4,1,4
0310.b3.txt,2027,833,932,652,22,6,11
0313.b3.txt,2520,801,1129,409,5,2,13
1023.b3.txt,1660,957,1016,593,8,0,7
1057.b3.txt,2188,1150,787,445,19,1,15
1066.b3.txt,2069,1073,1163,521,9,0,8
1069.b3.txt,1865,903,835,508,36,1,24
1082.b3.txt,2682,861,1130,406,13,2,17
1097.b3.txt,1931,1019,1102,646,13,1,10
1100.b3.txt,2023,930,822,379,15,2,4
1102.b3.txt,2009,846,1101,520,4,4,4
1112.b3.txt,1992,1112,1031,576,8,0,9
1508.b3.txt,1891,1069,804,388,18,1,19
1520.b3.txt,1596,1054,721,388,20,1,29
1532.b3.txt,2058,1072,840,463,16,3,19
1533.b3.txt,2029,1060,839,403,8,0,15
1534.b3.txt,2122,1039,1213,623,13,0,9
1536.b3.txt,2086,853,779,534,13,3,6
2018.b3.txt,2157,1239,812,357,11,0,13
2034.b3.txt,1816,1459,773,504,14,0,11
