NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
2042,1257,985,429,13,0,1
1657,1208,669,585,11,0,1
2030,1146,792,472,10,0,0
1947,1154,800,606,7,0,2
2082,959,885,484,15,1,10
1840,1222,943,611,9,0,2
1690,1254,592,467,8,0,2
2020,1174,671,336,12,1,4
1573,1416,766,677,12,2,2
1835,1145,931,529,9,0,1
2038,1265,824,391,13,0,2
1416,1348,472,502,16,0,4
1755,1450,466,385,12,0,1
1701,1369,547,481,14,0,4
1543,1279,556,370,6,0,2
1532,1565,542,448,9,0,5
1252,1584,678,652,11,1,2
1798,1136,886,519,10,0,3
1453,1572,594,411,7,0,2
1668,1154,804,603,7,0,2
1981,961,922,330,9,0,2
